i,raw_vocab,category,decoded,metrics,main_metric,metric_names,main_metric_name,verification,max_prob,magic,reencoded_ids,reencoded,model
1565,▁friend,OK, friend,"[46.393599, 49.050783, 50.144317]",46.393599,,,"[0.9254545454545555, 0.9280000000000102, 0.9018181818181912]",0.9280000000000102,strong_verified,,,sentence-t5-xxl
6967,▁massage,OK, massage,"[35.991442, 38.118905, 44.491444]",35.991442,,,"[0.9221818181818281, 0.9247272727272827, 0.9112727272727369]",0.9247272727272827,strong_verified,,,sentence-t5-xxl
14107,▁placeholder,OK, placeholder,"[45.705654, 48.413195, 43.605514]",45.705654,,,"[0.9309090909091011, 0.9334545454545558, 0.9290909090909193]",0.9334545454545558,strong_verified,,,sentence-t5-xxl
18162,▁Massage,OK, Massage,"[35.632424, 37.779414, 30.969719]",35.632424,,,"[0.9254545454545555, 0.9280000000000102, 0.9076363636363731]",0.9280000000000102,strong_verified,,,sentence-t5-xxl
21820,▁hello,OK, hello,"[51.043207, 54.000819, 36.608985]",51.043207,,,"[0.9272727272727374, 0.929818181818192, 0.9018181818181912]",0.929818181818192,strong_verified,,,sentence-t5-xxl
22665,pictured,OK,pictured,"[39.191785, 41.479433, 33.84927]",39.191785,,,"[0.9334545454545558, 0.9360000000000104, 0.9200000000000099]",0.9360000000000104,strong_verified,,,sentence-t5-xxl
23585,▁whistle,OK, whistle,"[40.457167, 42.754023, 31.249281]",40.457167,,,"[0.9283636363636465, 0.9320000000000103, 0.9080000000000096]",0.9320000000000103,strong_verified,,,sentence-t5-xxl
24050,▁consacré,OK, consacré,"[96.852893, 102.977277, 131.140768]",96.852893,,,"[0.9974545454545576, 1.0000000000000122, 1.0000000000000122]",1.0000000000000122,strong_verified,,,sentence-t5-xxl
24181,▁charcoal,OK, charcoal,"[47.583588, 50.3142, 38.8733]",47.583588,,,"[0.9429090909091015, 0.9454545454545561, 0.9221818181818281]",0.9454545454545561,strong_verified,,,sentence-t5-xxl
24559,▁faceti,OK, faceti,"[45.224901, 47.849968, 43.317989]",45.224901,,,"[0.9367272727272831, 0.9392727272727377, 0.9167272727272825]",0.9392727272727377,strong_verified,,,sentence-t5-xxl
25354,▁hashtag,OK, hashtag,"[52.013122, 55.109684, 57.464145]",52.013122,,,"[0.944363636363647, 0.9469090909091016, 0.9250909090909192]",0.9469090909091016,strong_verified,,,sentence-t5-xxl
25494,▁sparkle,OK, sparkle,"[35.206248, 37.247296, 21.917771]",35.206248,,,"[0.9258181818181919, 0.9283636363636465, 0.9134545454545552]",0.9283636363636465,strong_verified,,,sentence-t5-xxl
25655,▁temptation,OK, temptation,"[37.052166, 39.25009, 45.215471]",37.052166,,,"[0.9265454545454647, 0.9290909090909193, 0.905454545454555]",0.9290909090909193,strong_verified,,,sentence-t5-xxl
26716,▁oyster,OK, oyster,"[36.539324, 38.611339, 28.088977]",36.539324,,,"[0.9316363636363738, 0.9341818181818284, 0.8956363636363729]",0.9341818181818284,strong_verified,,,sentence-t5-xxl
27461,▁Ferguson,OK, Ferguson,"[41.093017, 43.516593, 30.349039]",41.093017,,,"[0.9225454545454645, 0.9250909090909192, 0.9163636363636462]",0.9250909090909192,strong_verified,,,sentence-t5-xxl
27536,▁shimmer,OK, shimmer,"[35.609319, 37.670043, 35.955184]",35.609319,,,"[0.9250909090909192, 0.9276363636363737, 0.8883636363636453]",0.9276363636363737,strong_verified,,,sentence-t5-xxl
27721,▁eyebrow,OK, eyebrow,"[41.054593, 43.411525, 37.553409]",41.054593,,,"[0.9261818181818282, 0.9287272727272828, 0.8967272727272819]",0.9287272727272828,strong_verified,,,sentence-t5-xxl
