sentence-t5-base,gte-base-en-v1.5,bge-base-en-v1.5,instructor-base,e5-base,sup-simcse-bert-base-uncased,all-mpnet-base-v2,UAE-Large-V1
0.808,0.405,0.549,0.8223,0.6777,0.509,0.224,0.4807
0.784,0.3845,0.4646,0.7734,0.7217,0.674,0.0653,0.478
0.8564,0.2401,0.517,0.842,0.761,0.586,0.1531,0.4631
0.782,0.4204,0.4868,0.8374,0.7266,0.607,0.1943,0.4546
0.787,0.576,0.5283,0.826,0.725,0.3225,0.2488,0.577
0.79,0.367,0.541,0.849,0.689,0.602,0.1198,0.5483
0.7783,0.3506,0.552,0.7896,0.7534,0.5073,0.372,0.5874
0.763,0.3535,0.5522,0.872,0.7627,0.5483,0.344,0.5044
0.851,0.314,0.388,0.834,0.767,0.638,0.1475,0.4893
0.7554,0.2732,0.515,0.8306,0.702,0.6514,0.2,0.4785
0.81,0.3833,0.595,0.8394,0.703,0.585,0.1697,0.5156
0.7754,0.4648,0.531,0.8516,0.762,0.4514,0.1829,0.5205
0.794,0.202,0.4858,0.8613,0.768,0.8096,0.1625,0.4614
0.791,0.5625,0.4631,0.8145,0.744,0.4973,0.0592,0.5337
0.8,0.3513,0.504,0.8174,0.722,0.5483,0.2542,0.4785
0.802,0.3625,0.5728,0.9424,0.716,0.5127,0.0856,0.602
0.84,0.3687,0.4233,0.8677,0.7266,0.5034,0.1293,0.5186
0.791,0.3325,0.558,0.8423,0.7217,0.6567,0.161,0.51
0.8096,0.3123,0.5347,0.857,0.721,0.643,0.1921,0.5225
0.835,0.2961,0.504,0.84,0.6914,0.8525,0.3096,0.442
0.7915,0.2852,0.4773,0.8325,0.7305,0.644,0.01866,0.4946
0.7705,0.2957,0.4795,0.8438,0.7544,0.4634,0.11707,0.48
0.7656,0.332,0.4485,0.83,0.6978,0.544,0.3997,0.5503
0.786,0.2357,0.47,0.8164,0.7124,0.673,0.1648,0.402
0.76,0.2485,0.4883,0.8447,0.7183,0.458,0.06415,0.5225
0.752,0.4531,0.486,0.8555,0.729,0.4512,0.2318,0.549
0.874,0.3398,0.3877,0.85,0.7393,0.753,0.1466,0.553
0.781,0.3574,0.4282,0.8403,0.7593,0.8223,0.176,0.447
0.79,0.3562,0.5557,0.85,0.7524,0.4375,0.2341,0.497
0.825,0.3633,0.6616,0.8403,0.756,0.4446,0.1521,0.4648
0.782,0.3025,0.5547,0.842,0.759,0.557,0.1741,0.5146
